meeting_id,course_id,title,dept,days,start_min,end_min,building_code,room,term
AC_ENG_20A-20001-Lec-B,AC ENG 20A,ACADEMIC WRITING,Academic English,TuTh,570,650,HH,105,2026 Winter
AC_ENG_20A-20004-Lec-E,AC ENG 20A,ACADEMIC WRITING,Academic English,TuTh,750,830,RH,190,2026 Winter
AC_ENG_20A-20005-Lec-F,AC ENG 20A,ACADEMIC WRITING,Academic English,TuTh,840,920,HH,220,2026 Winter
AC_ENG_20A-20007-Lec-H,AC ENG 20A,ACADEMIC WRITING,Academic English,TuTh,930,1010,SSL,119,2026 Winter
AC_ENG_20B-20018-Lec-A,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,660,710,HH,224,2026 Winter
AC_ENG_20B-20019-Lec-B,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,600,650,HH,210,2026 Winter
AC_ENG_20B-20020-Lec-C,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,720,770,HH,224,2026 Winter
AC_ENG_20B-20023-Lec-F,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,840,920,RH,190,2026 Winter
AC_ENG_20B-20025-Lec-H,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,900,950,IAB,129,2026 Winter
AC_ENG_20B-20026-Lec-I,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,840,890,IAB,128,2026 Winter
AC_ENG_20B-20028-Lec-K,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,1020,1100,HH,210,2026 Winter
AC_ENG_20B-20029-Lec-L,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,750,830,SSL,119,2026 Winter
AC_ENG_20B-20030-Lec-M,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,660,740,SSL,155,2026 Winter
AC_ENG_20B-20031-Lec-N,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,660,710,HH,210,2026 Winter
AC_ENG_20B-20033-Lec-P,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,660,740,HH,220,2026 Winter
AC_ENG_20B-20036-Lec-S,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,570,650,HH,210,2026 Winter
AC_ENG_20B-20039-Lec-V,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,930,1010,HH,112,2026 Winter
AC_ENG_20B-20040-Lec-W,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,720,770,HH,210,2026 Winter
AC_ENG_20B-20041-Lec-X,AC ENG 20B,ACADEMIC WRITING,Academic English,MWF,780,830,HH,220,2026 Winter
AC_ENG_20B-20045-Lec-BB,AC ENG 20B,ACADEMIC WRITING,Academic English,TuTh,1020,1100,IAB,129,2026 Winter
AC_ENG_20C-20072-Lec-B,AC ENG 20C,ACADEMIC WRITING,Academic English,TuTh,570,650,HH,220,2026 Winter
AC_ENG_20C-20077-Lec-G,AC ENG 20C,ACADEMIC WRITING,Academic English,TuTh,750,830,HH,220,2026 Winter
AC_ENG_20C-20078-Lec-H,AC ENG 20C,ACADEMIC WRITING,Academic English,TuTh,570,650,SSL,105,2026 Winter
AC_ENG_20C-20094-Lec-X,AC ENG 20C,ACADEMIC WRITING,Academic English,TuTh,660,740,SSL,119,2026 Winter
AC_ENG_22A-20127-Lec-C,AC ENG 22A,READING&VOCABULARY,Academic English,MWF,540,590,HH,112,2026 Winter
AC_ENG_22A-20128-Lec-D,AC ENG 22A,READING&VOCABULARY,Academic English,MWF,660,710,RH,190,2026 Winter
AC_ENG_22A-20133-Lec-I,AC ENG 22A,READING&VOCABULARY,Academic English,MWF,900,950,SSL,168,2026 Winter
AC_ENG_22A-20138-Lec-N,AC ENG 22A,READING&VOCABULARY,Academic English,TuTh,840,920,IAB,128,2026 Winter
AC_ENG_22A-20141-Lec-Q,AC ENG 22A,READING&VOCABULARY,Academic English,TuTh,750,830,SSL,155,2026 Winter
AC_ENG_22A-20145-Lec-U,AC ENG 22A,READING&VOCABULARY,Academic English,TuTh,840,920,HH,226,2026 Winter
AC_ENG_22A-20147-Lec-W,AC ENG 22A,READING&VOCABULARY,Academic English,MWF,540,590,IAB,129,2026 Winter
AC_ENG_22A-20148-Lec-X,AC ENG 22A,READING&VOCABULARY,Academic English,TuTh,750,830,ALP,1100,2026 Winter
AC_ENG_22A-20150-Lec-Z,AC ENG 22A,READING&VOCABULARY,Academic English,TuTh,660,740,IAB,130,2026 Winter
AC_ENG_139W-20194-Sem-E,AC ENG 139W,ADV ACADMIC WRITING,Academic English,TuTh,660,740,HH,224,2026 Winter
AC_ENG_139W-20198-Sem-I,AC ENG 139W,ADV ACADMIC WRITING,Academic English,TuTh,930,1010,HH,214,2026 Winter
AFAM_40B-20210-Lec-A,AFAM 40B,AFRICAN AMERICAN II,African American Studies,MWF,780,830,HIB,100,2026 Winter
